Episode,Steps,Reward
789,189,14.4626109
790,548,14.47594937
791,192,14.48672566
792,154,14.48863636
793,141,14.48423707
794,146,14.48110831
795,156,14.49308176
796,167,14.50753769
797,115,14.50062735
798,140,14.50125313
799,198,14.51939925
800,165,14.51875
801,168,14.53308365
802,165,14.53740648
803,177,14.54047323
804,150,14.54228856
805,160,14.54037267
806,199,14.55831266
807,196,14.57496902
808,141,14.57425743
809,136,14.56983931
810,176,14.57901235
811,170,14.5782984
812,170,14.58128079
813,184,14.58179582
814,195,14.58845209
815,200,14.59631902
816,189,14.60661765
817,145,14.60342717
818,175,14.60391198
819,154,14.60561661
820,166,14.60853659
821,183,14.61266748
822,172,14.61678832
823,161,14.62332928
824,199,14.6407767
825,195,14.64848485
826,194,14.66343826
827,163,14.6662636
828,151,14.66304348
829,170,14.67671894
830,176,14.67710843
831,191,14.69314079
832,159,14.69591346
833,158,14.69867947
834,146,14.70383693
835,153,14.70179641
836,208,14.715311
837,161,14.72640382
838,177,14.73508353
839,166,14.73420739
840,139,14.73452381
841,156,14.73602854
842,167,14.73990499
843,146,14.74495848
844,156,14.7464455
845,155,14.74792899
846,158,14.75059102
847,172,14.74970484
848,171,14.75353774
849,137,14.74911661
850,107,14.74117647
851,153,14.73795535
852,144,14.73474178
853,185,14.74325909
854,159,14.75526932
855,166,14.7625731
856,193,14.76985981
857,190,14.78413069
858,158,14.78554779
859,197,14.79394645
860,197,14.81046512
861,149,14.80836237
862,198,14.82482599
863,172,14.82502897
864,119,14.81828704
865,165,14.82196532
866,190,14.83718245
867,172,14.84083045
868,153,14.83870968
869,173,14.84349827
870,187,14.84942529
871,156,14.85189437
872,153,14.85321101
873,169,14.8556701
874,136,14.85125858
875,134,14.84571429
876,163,14.84474886
877,196,14.85974914
878,154,14.86218679
879,168,14.86120592
880,143,14.85795455
881,152,14.85925085
882,90,14.84920635
883,152,14.85050963
884,143,14.84615385
885,138,14.84180791
886,183,14.85665914
887,132,14.85231116
888,124,14.85022523
889,182,14.856018
890,119,14.8494382
891,201,14.86083053
892,208,14.87219731
893,163,14.87569989
894,142,14.87248322
895,202,14.88379888
896,195,14.890625
897,226,14.8974359
898,205,14.90868597
899,197,14.91991101
900,151,14.91777778
901,175,14.93118757
902,156,14.93348115
903,160,14.93133998
904,192,14.94579646
905,190,14.95911602
906,112,14.95143488
907,167,14.95479603
908,172,14.95814978
909,180,14.96259626
910,133,14.96153846
911,183,14.97036224
912,169,14.97697368
913,194,14.98357065
914,162,14.9868709
915,164,14.98688525
916,195,15.00218341
917,106,14.99454744
918,188,15
919,172,15
920,191,15.00652174
921,134,15.00542888
922,182,15.00650759
923,168,15.00650054
924,196,15.00974026
925,155,15.01189189
926,197,15.02159827
927,184,15.02265372
928,185,15.03125
929,159,15.04198062
930,135,15.03655914
931,137,15.03222342
932,137,15.027897
933,148,15.02893891
934,184,15.03747323
935,193,15.0513369
936,180,15.05555556
937,181,15.06937033
938,185,15.07036247
939,132,15.06602769
940,141,15.06276596
941,135,15.05844846
942,108,15.05095541
943,207,15.06150583
944,191,15.06885593
