Steps,Episode number,Episode reward,Episode reward irl,Episode reward combined
760,397,72.98740554,72.98740554,72.98740554
984,398,72.91708543,72.91708543,72.91708543
926,399,72.8245614,72.8245614,72.8245614
1188,400,72.99,72.99,72.99
1279,401,73.12967581,73.12967581,73.12967581
1221,402,73.21890547,73.21890547,73.21890547
1213,403,73.31761787,73.31761787,73.31761787
1344,404,73.87376238,73.87376238,73.87376238
1416,405,74.52345679,74.52345679,74.52345679
1195,406,74.57389163,74.57389163,74.57389163
2517,407,75.34643735,75.34643735,75.34643735
1434,408,75.68137255,75.68137255,75.68137255
933,409,75.60391198,75.60391198,75.60391198
867,410,75.50243902,75.50243902,75.50243902
690,411,75.36009732,75.36009732,75.36009732
1404,412,75.9538835,75.9538835,75.9538835
1917,413,76.56658596,76.56658596,76.56658596
1117,414,76.60628019,76.60628019,76.60628019
1594,415,77.27710843,77.27710843,77.27710843
1577,416,77.52884615,77.52884615,77.52884615
1436,417,77.98561151,77.98561151,77.98561151
1423,418,78.38277512,78.38277512,78.38277512
1274,419,78.71121718,78.71121718,78.71121718
1576,420,79.37380952,79.37380952,79.37380952
1346,421,79.77434679,79.77434679,79.77434679
1392,422,80.18957346,80.18957346,80.18957346
1329,423,80.57210402,80.57210402,80.57210402
931,424,80.51179245,80.51179245,80.51179245
1498,425,80.94588235,80.94588235,80.94588235
1039,426,80.97652582,80.97652582,80.97652582
1137,427,81.2529274,81.2529274,81.2529274
1066,428,81.24766355,81.24766355,81.24766355
1318,429,81.58508159,81.58508159,81.58508159
982,430,81.53023256,81.53023256,81.53023256
1149,431,81.46867749,81.46867749,81.46867749
622,432,81.31944444,81.31944444,81.31944444
1332,433,81.77136259,81.77136259,81.77136259
1470,434,82.30414747,82.30414747,82.30414747
1150,435,82.34942529,82.34942529,82.34942529
1099,436,82.38073394,82.38073394,82.38073394
1304,437,82.72540046,82.72540046,82.72540046
702,438,82.57305936,82.57305936,82.57305936
1285,439,82.65831435,82.65831435,82.65831435
907,440,82.55909091,82.55909091,82.55909091
1284,441,82.62358277,82.62358277,82.62358277
565,442,82.49095023,82.49095023,82.49095023
1145,443,82.51015801,82.51015801,82.51015801
1000,444,82.48423423,82.48423423,82.48423423
1435,445,82.96179775,82.96179775,82.96179775
1062,446,82.97757848,82.97757848,82.97757848
1256,447,83.24161074,83.24161074,83.24161074
1327,448,83.73214286,83.73214286,83.73214286
1252,449,83.844098,83.844098,83.844098
1007,450,83.81555556,83.81555556,83.81555556
899,451,83.72505543,83.72505543,83.72505543
897,452,83.63053097,83.63053097,83.63053097
871,453,83.50551876,83.50551876,83.50551876
506,454,83.39207048,83.39207048,83.39207048
1378,455,83.87252747,83.87252747,83.87252747
1148,456,83.90350877,83.90350877,83.90350877
1305,457,84.26039387,84.26039387,84.26039387
1398,458,84.44978166,84.44978166,84.44978166
944,459,84.33769063,84.33769063,84.33769063
1511,460,84.89782609,84.89782609,84.89782609
1508,461,85.47071584,85.47071584,85.47071584
1008,462,85.44155844,85.44155844,85.44155844
804,463,85.31533477,85.31533477,85.31533477
955,464,85.20474138,85.20474138,85.20474138
1060,465,85.16129032,85.16129032,85.16129032
853,466,85.05364807,85.05364807,85.05364807
924,467,84.95717345,84.95717345,84.95717345
623,468,84.82905983,84.82905983,84.82905983
1108,469,84.7761194,84.7761194,84.7761194
1320,470,84.92553191,84.92553191,84.92553191
1133,471,84.98301486,84.98301486,84.98301486
1155,472,84.97669492,84.97669492,84.97669492
